model,family,objective,length_norm,chosen_target_ratio,global_step,epoch,final_train_loss,final_train_actual_ratio,final_eval_loss,final_eval_actual_ratio,final_eval_reward_accuracy,final_eval_margin,train_ratio_gap,eval_ratio_gap
ratio=0.6,fixed_ratio,target_ratio,none,0.6,2709,3.0,0.010068550705909729,0.5917149484157562,0.20077477395534515,0.4978254405741996,0.47553191540089057,-0.008959144512389569,-0.008285051584243752,-0.1021745594258004
ratio=0.7,fixed_ratio,target_ratio,none,0.7,2709,3.0,0.08162562847137451,0.671969223022461,0.8628839254379272,0.49981461497063334,0.5207446813583374,-0.002529642287086933,-0.028030776977538974,-0.2001853850293666
ratio=0.8,fixed_ratio,target_ratio,none,0.8,2709,3.0,0.34911203384399414,0.7364063620567322,2.3061375617980957,0.5015518329244979,0.5207446813583374,0.0015030118062141094,-0.06359363794326789,-0.29844816707550215
standard_ipo+mean,length_normalized,standard_ipo,mean,,2709,3.0,2259.6455078125,0.5069344639778137,2443.218017578125,0.5026283714365452,0.5962765958714993,0.010553648398119085,,
standard_ipo+sqrt,length_normalized,standard_ipo,sqrt,,2709,3.0,1012.70634765625,0.556081372499466,2777.681640625,0.5021727249977437,0.5526595749753587,0.008685041872903388,,
target_ratio+mean=0.7,length_normalized,target_ratio,mean,0.7,2709,3.0,0.6631065368652344,0.5101204574108124,0.7003042101860046,0.5051469124378042,0.6031914898689757,0.020895345835015178,-0.1898795425891876,-0.19485308756219577
target_ratio+mean=0.8,length_normalized,target_ratio,mean,0.8,2709,3.0,1.8367895126342773,0.5081676453351974,1.8951934576034546,0.5031280371736973,0.6042553192757546,0.012569960444531542,-0.2918323546648026,-0.2968719628263028
target_ratio+sqrt=0.7,length_normalized,target_ratio,sqrt,0.7,2709,3.0,0.3997501373291016,0.5615652620792388,0.7574132084846497,0.502186802473474,0.5446808515711034,0.008764571411178467,-0.1384347379207611,-0.19781319752652593
target_ratio+sqrt=0.8,length_normalized,target_ratio,sqrt,0.8,2709,3.0,1.319098663330078,0.5643775522708893,1.9642045497894287,0.5023267034520494,0.5526595749753587,0.009451142968015467,-0.23562244772911078,-0.2976732965479506
