model,chosen_target_ratio,global_step,final_train_loss,final_train_actual_ratio,final_eval_loss,final_eval_actual_ratio,final_eval_reward_accuracy,train_ratio_gap,eval_ratio_gap
ratio=0.6,0.6,2709,0.010068550705909729,0.5917149484157562,0.20077477395534515,0.4978254405741996,0.47553191540089057,-0.008285051584243752,-0.1021745594258004
ratio=0.7,0.7,2709,0.08162562847137451,0.671969223022461,0.8628839254379272,0.49981461497063334,0.5207446813583374,-0.028030776977538974,-0.2001853850293666
ratio=0.8,0.8,2709,0.34911203384399414,0.7364063620567322,2.3061375617980957,0.5015518329244979,0.5207446813583374,-0.06359363794326789,-0.29844816707550215
