model,objective,target_ratio,global_step,epoch,final_train_loss,final_eval_loss,final_train_actual_ratio,final_eval_actual_ratio,final_train_reward_accuracy,final_eval_reward_accuracy,final_train_margin,final_eval_margin,final_dir
Qwen3-1.7B standard IPO,standard_ipo,,2709,3.0,631.0267578125,2065.61669921875,0.5777612060308457,0.5221703234690444,0.95,0.67828418230563,0.3155240032821894,0.08988200996230898,/home/cvip/qwen3_ipo_exp/outputs/qwen3_1_7b_ipo_vs_ratio06/20260610/objective_standard_ipo_norm_none_e3_bs1_beta0.01_lr5e-7/final
Qwen3-1.7B ratio=0.6,target_ratio,0.6,2709,3.0,0.032390099763870236,0.13517558574676514,0.5695084303617477,0.5185434080800166,0.975,0.6863270777479893,0.2809356838930398,0.07485137102830826,/home/cvip/qwen3_ipo_exp/outputs/qwen3_1_7b_ipo_vs_ratio06/20260610/objective_target_ratio_norm_none_ratio_0.6_e3_bs1_beta0.01_lr5e-7/final
