model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,360,0.39883672621520566,2282.091015625,0.5160066012293101,0.675,0.06545749456854537,4.3373938722775934e-07,551580.875
Qwen3-1.7B standard IPO,standard_ipo,train,370,0.40991552416562804,2170.1353515625,0.5149487793445587,0.6625,0.060202935250708835,4.318936877076412e-07,381790.9375
Qwen3-1.7B standard IPO,standard_ipo,train,380,0.4209943221160504,2006.7705078125,0.5175843082368374,0.6625,0.07074470715597272,4.30047988187523e-07,612272.25
Qwen3-1.7B standard IPO,standard_ipo,train,390,0.4320731200664728,2150.295703125,0.5151240490376949,0.625,0.06091573177836836,4.282022886674049e-07,513741.90625
Qwen3-1.7B standard IPO,standard_ipo,train,400,0.4431519180168952,2147.125,0.515998887270689,0.675,0.06447074303869157,4.263565891472868e-07,660280.25
Qwen3-1.7B standard IPO,standard_ipo,eval,400,0.4431519180168952,2168.915771484375,0.5155466841309064,0.6541554959785523,0.06269375339460037,,
Qwen3-1.7B standard IPO,standard_ipo,train,410,0.45423071596731757,2071.1802734375,0.5177037660032511,0.675,0.07132998277666047,4.245108896271687e-07,482627.25
Qwen3-1.7B standard IPO,standard_ipo,train,420,0.46530951391773995,2000.408984375,0.5212262518703937,0.6375,0.08572818606626242,4.2266519010705055e-07,428751.96875
Qwen3-1.7B standard IPO,standard_ipo,train,430,0.47638831186816233,2110.8208984375,0.5197703167796135,0.6125,0.08047601459547878,4.2081949058693246e-07,422095.21875
Qwen3-1.7B standard IPO,standard_ipo,train,440,0.4874671098185847,1715.175,0.529848039150238,0.7625,0.1209526947583072,4.189737910668143e-07,327461.90625
Qwen3-1.7B standard IPO,standard_ipo,train,450,0.49854590776900704,2570.03515625,0.5060702126473189,0.5375,0.024247189180459826,4.1712809154669623e-07,694013.5
Qwen3-1.7B standard IPO,standard_ipo,train,460,0.5096247057194294,2404.4576171875,0.5094171948730946,0.5875,0.038052564952522516,4.1528239202657803e-07,523986.90625
Qwen3-1.7B standard IPO,standard_ipo,train,470,0.5207035036698519,1916.2302734375,0.5231168448925019,0.7125,0.09340171269141137,4.134366925064599e-07,486396.53125
Qwen3-1.7B standard IPO,standard_ipo,train,480,0.5317823016202742,2275.18359375,0.5155146922916174,0.575,0.06310437060892582,4.115909929863418e-07,550924.4375
Qwen3-1.7B standard IPO,standard_ipo,train,490,0.5428610995706966,2256.6857421875,0.5178721338510514,0.6,0.07268736887490376,4.0974529346622366e-07,683511.0625
